PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",00-0000,All Occupations,total,"4,220,570",0.5,1000.000,1.00,26.71,"55,560",0.9,10.16,12.05,19.02,32.83,51.94,"21,140","25,070","39,570","68,290","108,040",,
CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",11-0000,Management Occupations,major,"229,980",1.4,54.491,1.08,61.23,"127,360",0.7,22.27,33.93,52.67,77.25,#,"46,310","70,580","109,550","160,670",#,,
CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",11-1011,Chief Executives,detailed,"8,260",6.6,1.957,1.23,109.59,"227,940",2.6,42.93,72.72,#,#,#,"89,300","151,260",#,#,#,,
CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",11-1021,General and Operations Managers,detailed,"70,520",1.9,16.708,1.07,65.33,"135,890",1.1,22.75,34.86,53.75,83.70,#,"47,320","72,520","111,800","174,090",#,,
CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",11-1031,Legislators,detailed,520,8.1,0.124,0.32,*,"70,460",2.4,*,*,*,*,*,"42,690","52,030","62,160","90,080","112,020",TRUE,
CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",11-2011,Advertising and Promotions Managers,detailed,"1,350",17.5,0.319,1.55,59.93,"124,660",6.0,21.30,31.26,50.00,74.72,#,"44,300","65,030","103,990","155,410",#,,
CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",11-2021,Marketing Managers,detailed,"6,570",4.7,1.558,1.06,72.40,"150,590",1.7,32.02,44.97,68.41,90.76,#,"66,600","93,530","142,290","188,790",#,,
CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",11-2022,Sales Managers,detailed,"18,390",3.7,4.358,1.68,62.44,"129,870",2.2,20.58,30.67,52.00,79.74,#,"42,810","63,790","108,150","165,870",#,,
CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",11-2031,Public Relations and Fundraising Managers,detailed,"1,820",10.1,0.432,0.95,63.19,"131,440",3.9,31.16,42.48,56.20,75.49,#,"64,800","88,350","116,900","157,010",#,,
CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",11-3011,Administrative Services Managers,detailed,"10,260",4.2,2.431,1.28,50.07,"104,140",1.3,26.86,34.38,45.97,60.34,78.17,"55,870","71,510","95,620","125,510","162,590",,
CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",11-3021,Computer and Information Systems Managers,detailed,"8,910",4.7,2.110,0.84,75.36,"156,740",1.4,45.12,56.48,70.73,87.87,#,"93,850","117,470","147,110","182,770",#,,
CA,31084,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",11-3031,Financial Managers,detailed,"18,060",5.7,4.279,1.11,75.69,"157,440",1.6,36.51,48.93,67.71,92.89,#,"75,940","101,780","140,840","193,200",#,,
