AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
31080,"Los Angeles-Long Beach-Anaheim, CA",4,CA,000000,Cross-industry,cross-industry,1235,00-0000,All Occupations,total,"5,719,620",0.0,1000.000,1.00,,,31.70,"65,930",0.4,14.33,15.12,22.87,37.81,61.39,"29,810","31,450","47,580","78,630","127,690",,
31080,"Los Angeles-Long Beach-Anaheim, CA",4,CA,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,"410,750",1.4,71.814,1.14,,,65.31,"135,840",1.2,28.66,37.72,60.43,80.35,#,"59,620","78,470","125,690","167,120",#,,
31080,"Los Angeles-Long Beach-Anaheim, CA",4,CA,000000,Cross-industry,cross-industry,1235,11-1011,Chief Executives,detailed,"12,110",8.2,2.118,1.49,,,123.36,"256,600",7.2,46.00,69.69,#,#,#,"95,670","144,960",#,#,#,,
31080,"Los Angeles-Long Beach-Anaheim, CA",4,CA,000000,Cross-industry,cross-industry,1235,11-1021,General and Operations Managers,detailed,"100,000",2.8,17.484,0.83,,,63.48,"132,030",1.3,24.33,37.38,51.70,79.88,#,"50,610","77,750","107,540","166,150",#,,
31080,"Los Angeles-Long Beach-Anaheim, CA",4,CA,000000,Cross-industry,cross-industry,1235,11-1031,Legislators,detailed,**,**,**,**,,,*,"77,320",3.5,*,*,*,*,*,"30,310","45,660","61,810","98,850","123,750",TRUE,
31080,"Los Angeles-Long Beach-Anaheim, CA",4,CA,000000,Cross-industry,cross-industry,1235,11-2011,Advertising and Promotions Managers,detailed,"1,940",19.5,0.340,2.13,,,74.95,"155,890",5.1,41.72,48.02,68.23,#,#,"86,770","99,880","141,930",#,#,,
31080,"Los Angeles-Long Beach-Anaheim, CA",4,CA,000000,Cross-industry,cross-industry,1235,11-2021,Marketing Managers,detailed,"17,020",10.4,2.976,1.50,,,77.77,"161,750",3.4,38.14,50.08,73.02,99.59,#,"79,340","104,170","151,870","207,140",#,,
31080,"Los Angeles-Long Beach-Anaheim, CA",4,CA,000000,Cross-industry,cross-industry,1235,11-2022,Sales Managers,detailed,"31,390",3.2,5.488,1.70,,,64.31,"133,760",1.6,29.04,37.62,59.95,80.33,#,"60,410","78,250","124,700","167,080",#,,
31080,"Los Angeles-Long Beach-Anaheim, CA",4,CA,000000,Cross-industry,cross-industry,1235,11-2032,Public Relations Managers,detailed,"2,650",15.4,0.464,1.09,,,66.40,"138,120",2.5,37.46,47.11,61.49,79.14,#,"77,930","98,000","127,890","164,600",#,,
31080,"Los Angeles-Long Beach-Anaheim, CA",4,CA,000000,Cross-industry,cross-industry,1235,11-2033,Fundraising Managers,detailed,790,9.2,0.139,0.84,,,58.36,"121,400",6.6,32.58,37.37,48.00,71.82,99.49,"67,760","77,720","99,840","149,380","206,950",,
